obs_ID,study_ID,C_mean,T_mean,C_n,T_n,C_sd,T_sd
obs104,"Damascos, MA, Ronquim, CC, Prado, CHBA",92.8,59.4,10,10,73.04861395,24.34953798
obs105,"Prittinen, K, Pusenius, J, Koivunoro, K, Roininen, H",25.9,28.1,8,8,1.697056275,1.697056275
obs106,"Koch, JM, Richardson, J, Lamont, BB",0.65,0.22,8,8,0.169705627,0.282842712
obs107,"Martinez, AJ, Lopez-Portillo, J",13,2.9,30,30,21.36117974,11.50217371
obs108,"Rooke, T",1.2,0.32,30,30,0.931128348,0.273861279
obs109,"Hummel, GM, Schurr, U, Baldwin, IT, Walter, A",6.2,5.2,10,10,0.632455532,0.948683298
obs110,"Fine, PVA, Mesones, I, Coley, PD",0.05,0.06,22,22,0.023452079,0.046904158
obs111,"Fine, PVA, Mesones, I, Coley, PD",0.17,0.16,22,22,0.093808315,0.046904158
obs112,"Franks, SJ, Kral, AM, Pratt, PD",6.53,5.68,10,10,0.294091822,0.531262647
obs113,"Bidart-Bouzat, MG",0.29,0.19,6,6,0.073484692,0.073484692
obs114,"Siemann, E, Rogers, WE",66.4,74.7,15,15,61.19313687,91.78970531
obs115,"Siemann, E, Rogers, WE",157.6,150.2,15,15,91.78970531,91.40240697
obs116,"Siemann, E, Rogers, WE",2047,1089.7,15,15,2636.339764,2360.196051
obs117,"Millett, J, Hester, AJ, Millard, P, McDonald, AJS",6.8,4.4,3,3,0.519615242,0.346410162
obs118,"Fernandes, GW, Santos, JC, Castro, FMC, Castilho, A",8.3,21.1,15,15,3.4,8.3
obs119,"Hooks, CRR, Pandey, RR, Johnson, MW",166.2,91.2,44,44,64.34252093,51.07602177
obs120,"Hinz, HL, Schroeder, D",4.7,4.6,4,4,0.8,1.6
obs121,"Ding, J, Blossey, B",0.52,0.67,10,10,0.853814968,0.885437745
obs122,"Retuerto, R., Fernandez-Lema, B., Rodriguez-Roiloa, and Obeso, J. R.",50,74.5,7,7,10.05385498,12.69960629
obs123,"Bazin, A, Goverde, M, Erhardt, A, and Shykoff, JA",0.47,0.45,20,48,0.268328157,0.346410162
obs124,"Vandenberghe, C, Frelechoux, F, and Buttler, A",4.3,2.7,18,11,1.697056275,0.331662479
obs125,"Thomas, MM, Watt, MS, Jay, J, Peltzer, D, Mason, EG, Turnbull, MH, Whitehead, D",10.7,7.2,19,19,6.494759426,7.889607088
obs126,"Lof, M, Paulsson, R, Rydberg, D, Welander, NT",17.8,17.6,4,4,2.6,0.6
obs127,"Warner, PJ, Cushman, JH",0.08,0.05,100,100,0.2,0.1
obs128,"Warner, PJ, Cushman, JH",0.53,-0.21,40,40,0.822192192,0.505964426
obs129,"Warner, PJ, Cushman, JH",13.8,11.9,18,18,1.697056275,2.121320344
obs130,"Boege, K",0.47,0.42,15,15,0.271108834,0.271108834
obs131,"Stevens, GN, and Jones, RH",8.8,9.1,10,10,2.213594362,2.213594362
obs132,"Center, TD, Pratt, PD, Tipping, PW, Rayamajhi, MB, Van, TK, Wineriter, SA, and Dray Jr, FA",29.5,2.1,5,5,1.565247584,1.341640786
obs133,"Baker, BW, Ducharme, HC, Mitchell, DCS, Stanley, TR, and Peinetti, HR",659.2,80.5,5,5,900.9117881,53.66563146
obs134,"Land, AD, Rieske, LK",0.81,0.55,6,6,0.220454077,0.171464282
obs135,"Land, AD, Rieske, LK",13.83,10.7,6,6,4.825494793,5.633826408
obs136,"Pearson, TRH, Burslem, DFRP, Goeriz, RE, and Dalling, JW",0.0002,0.0009,6,6,0.003184337,0.00244949
obs137,"Pearson, TRH, Burslem, DFRP, Goeriz, RE, and Dalling, JW",0.013,0.01,6,6,0.00244949,0.004898979
obs138,"Reffaele, E, Kitzberger, T, and Veblen, T",27.9,19.7,4,4,11,14
obs139,"Reffaele, E, Kitzberger, T, and Veblen, T",43.5,-3.01,4,4,11,14.12
obs140,"Young, PT, and Augustine, DJ",150.2,33.7,3,3,198.1466124,54.55960044
obs141,"Zehnder, CB, and Hunter, MD",0.36,0.29,7,21,0.132287566,0.137477271
obs142,"Zehnder, CB, and Hunter, MD",0.87,0.68,7,14,0.211660105,0.374165739
obs143,"Zehnder, CB, and Hunter, MD",1.4,1.13,7,21,0.264575131,0.229128785
obs144,"Rogers, WE, Siemann, E",0.217,0.137,6,6,0.244948974,0.122474487
obs145,"Rogers, WE, Siemann, E",1.005,0.555,6,6,0.489897949,0.440908154
obs146,"Elger, A, de Boer, T, and Hanley, ME",2.96,0.14,4,4,0.54,0.32
obs147,"Elger, A, de Boer, T, and Hanley, ME",8.4,2.1,4,4,0.6,2
obs148,"Huttunen, L, Niemela, P, Peltola, H, Heiska, S, Rousi, M, and Kellomaki, S",0,0.24,4,4,0.28,0.3
obs149,"Offenberg, J, Nielsen, MG, Macintosh, DJ, Havanon, S, and Aksornkoae, S ",8.2,13.4,20,21,8.049844719,9.623408959
obs150,"Gianoli, E and Molina-Montenegro, MA",1.11,1.14,10,10,0.09486833,0.126491106
obs151,"Hasler, H, Senn, J, and Edwards, PJ",115.5,101.2,10,10,10.11928851,18.34121043
obs152,"Piene, H",0.43,0.36,10,10,0.09486833,0.063245553
obs153,"Schmidt, L, Schurr, U, Rose, USR",1.5,1.3,5,5,0.223606798,0.447213595
obs154,"Schmidt, L, Schurr, U, Rose, USR",3.9,1.7,16,16,1.6,0.8
obs155,"Osier, TL, Lindroth, RL",1.07,1.08,6,6,0.146969385,0.193926103
obs156,"Zotz, G, Laube, S, Schmidt, G",-3.1,-2.3,10,10,6.32455532,10.43551628
obs157,"Zotz, G, Laube, S, Schmidt, G",24.5,20.6,10,10,18.02498266,15.49516053
obs158,"Zotz, G, Laube, S, Schmidt, G",26,14.1,10,10,8.854377448,19.92234926
obs159,"King, EG, Eckhart, VM, Mohl, EC",41.9,18,21,21,34.36931771,15.12249979
obs160,"King, EG, Eckhart, VM, Mohl, EC",50,34.5,100,50,43,21.21320344
obs161,"Bennett, AE, Bever, JD",1.6,1.4,7,7,0.132287566,0.158745079
obs162,"Palomino, M, Kennedy, PG, Simms, EL",2.3,2,15,15,0.309838668,0.309838668
obs163,"Throop, HL",3.2,1.6,3,3,0.692820323,0.519615242
obs164,"Throop, HL",4.8,0.7,4,4,0.8,0.8
obs165,"van Kleunen, M, Schmid, B",30.4,30.8,24,24,18.1262241,15.18683641
obs166,"Gomez, JM",51.8,29.3,45,45,14.08722826,22.80789337
obs167,"Valdivia, CE, Niemeyer, HM",0.33,0.13,15,15,0.580947502,0.503487835
obs168,"Zorn-Arnold, B, Brown, JS, Howe, HF",6.9,3.3,24,24,5.388877434,9.797958971
obs169,"Boege, K, Dirzo, R, Siemens, D, Brown, P",0.63,0.57,20,20,0.134164079,0.134164079
obs170,"Bossdorf O, Schroder S, Prati D, Auge H",26.67,17.13,31,32,6.1,5.22
obs171,"Bossdorf O, Schroder S, Prati D, Auge H",48.89,35.11,12,13,8,5.21
obs172,"Kurashige NS, Agrawal AA",253.8,205,83,83,61.03990498,70.15033856
obs173,"Reddall AA, Wilson LJ, Gregg PC, Sadras VO",10.6,6,4,4,2.5,2
obs174,"Reddall AA, Wilson LJ, Gregg PC, Sadras VO",17.5,14.3,4,4,2.5,2.2
obs175,"Peterson RKD, Shannon CL, Lenssen AW",25.1,23.6,2,2,2.800142853,1.414213562
obs176,"Peterson RKD, Shannon CL, Lenssen AW",26.5,21.5,2,2,1.329360749,2.107178208
obs177,"Peterson RKD, Shannon CL, Lenssen AW",28.8,29.9,2,2,1.202081528,1.046518036
obs178,"Miyamoto Y, Nakamura M",2.5,2.3,56,56,1.272163512,1.496662955
obs179,"Miyamoto Y, Nakamura M",3.17,3.25,58,58,1.218523697,1.294681428
obs180,"Boege K, Marquis RJ",19,13.2,15,15,6.584071689,12.00624837
obs181,"Utsumi S, Ohgushi T",0.24,0.21,15,15,0.077459667,0.077459667
obs182,"Utsumi S, Ohgushi T",1.4,7.4,15,23,2.517439175,5.754997828
obs183,"Utsumi S, Ohgushi T",2.6,25.2,10,10,5.692099788,24.66576575
obs184,"Uribe-Mu, CA, Quesada, M",89.8,69.4,10,10,2.846049894,1.264911064
obs185,"Dhileepan, K, Lockett, C, Robinson, M, Pukallus, K",9.1,1.2,16,16,8.28,0.96
obs186,"Sousa, WP, Kennedy, PG, Mitchell, BJ",3.54,3.33,27,27,0.883345912,1.714730299
obs187,"Sousa, WP, Kennedy, PG, Mitchell, BJ",5.79,4,38,50,0.6164414,4.384062043
obs188,"Sousa, WP, Kennedy, PG, Mitchell, BJ",6.32,5.24,33,33,1.493586288,1.034021276
obs189,"Johnson, SN, Hawes, C, Karley AJ",0.82,1.22,10,10,0.284604989,0.347850543
obs190,"Johnson, SN, Hawes, C, Karley AJ",65.5,55.6,10,10,10.43551628,18.34121043
obs191,"Gustafsson, C, Ehrlen, J, Eriksson, O",4,3.1,10,20,1.2,1.1
obs192,"Gutierrez, JR, Holmgren, M, Manrique, R, Squeo, FA",80.5,2.1,5,5,80.27484039,1.565247584
obs193,"Moore, JP, Taylor, JE, Paul, ND, Whittaker, JB",683.7,597,14,14,96.53476058,105.888904
obs194,"Palmer, SCF, Mitchell, RJ, Truscott, A-M, Welch, D",-0.43,-2.14,6,6,0.318433667,0.367423461
obs195,"Den Herder, M, Virtanen, R, Roininen, H",28.5,16.3,11,11,7.628237018,7.959899497
obs196,"Katjiua, MLJ, Ward, D",7.5,5.3,4,4,1.6,1.6
obs197,"Macdonald, KP, Bach, CE",0.25,0.21,10,10,0.284604989,0.126491106
obs198,"Rieske, LK, Dillaway, DN",0.42,0.21,3,3,0.103923048,0.103923048
obs199,"Rieske, LK, Dillaway, DN",0.61,0.47,3,3,0.259807621,0.259807621
obs200,"Fang, X, Wang, X, Li, H, Chen, K, Wang, G",3.89,5.08,20,20,2.593838854,1.654690303
obs201,"Ramula, S",1.48,1.2,3,3,2.771281292,2.771281292
obs202,"Eyles, A, Pinkard, EA, O'Grady, AP, Worledge, D, Warren CR",38.5,30.4,7,7,19.04940944,19.04940944
obs203,"Hummel, GM, Naumann, M, Schurr, U, Walter, A",21.4,19.4,3,3,1.1,1
obs204,"Raimondo, F, Trifilo, P, Salleo, S, Nardini, A",0.43,0.53,20,20,0.19,0.12
obs205,"Green, PT, Juniper, PA",0.23,0.05,7,7,0.09,0.01
obs206,"Green, PT, Juniper, PA",0.76,0.3,9,9,0.2,0.14
obs207,"Green, PT, Juniper, PA",2.5,0.6,8,8,0.6,0.2
obs208,"Baraloto, C, Forget, P-M",0.08,0.09,4,4,0.01,0.01
obs209,"Baraloto, C, Forget, P-M",0.088,0.087,4,4,0.021,0.025
obs210,"Baraloto, C, Forget, P-M",0.21,0.19,4,4,0.05,0.06
obs211,"Wahungu, GM, Catterall, CP, Olsen, MF",82.7,48.3,48,48,62.35382907,40.87639906
obs212,"Franks, SJ, Pratt, PD, Dray, FA, Simms, EL",32.7,24.5,24,24,11.02270384,11.07169364
obs213,"Berry, EJ, Gorchoy, DL, Endress, BA",29.6,23.9,21,18,26.12068146,39.45655839
obs214,"Hodar, JA, Zamora, R, Castro, J, Gomez, JM, Garcia, D",10.9,4.6,32,32,6.222539674,6.222539674
obs215,"Hodar, JA, Zamora, R, Castro, J, Gomez, JM, Garcia, D",15.2,13.9,32,32,10.18233765,7.353910524
obs216,"Sheppard, AW, Vitou, J",2.18,1.17,27,26,1.506884203,0.866833317
obs217,"Thalmann, C, Freise, J, Heitland, W, Bacher, S",1.3,1.4,22,13,0.140712473,0.180277564
obs218,"Thalmann, C, Freise, J, Heitland, W, Bacher, S",22.3,17.9,15,15,4.647580015,3.485685012
obs219,"Fernando, S, Marina, F, Sonia, M, Alfonso, E",10.1,9.4,15,15,3.098386677,4.647580015
obs220,"Russell, FL, Fowler, NL",180.7,58.8,21,10,285.4944658,103.0902517
obs221,"Fang, X, Yuan, J, Wang, G, Zhao, Z",22.44,72.93,10,10,12.26963732,52.81003692
obs222,"Collins, B",21.7,19,3,3,1.905255888,1.732050808
obs223,"Sampedro, L, Moreira, X, Martins, P, Zas, R",353.8,369.5,10,10,18.02498266,18.02498266
obs224,"Norton, AP, Blair, AC, Hardin, JG, Nissen, SJ, Brunk, GR",2.18,2,12,12,0.381051178,0.277128129
obs225,"Husheer, SW, Robertson, AW, Coomes, DA, Framption, CM",0.19,0.08,7,7,0.079372539,0.079372539
obs226,"Husheer, SW, Robertson, AW, Coomes, DA, Framption, CM",198.8,165.6,8,8,11.3137085,11.3137085
obs227,"Simonetti, JA, Grez, AA, Celis-Diez, JL, Bustamante, RO",0.02,0.04,25,25,0.051020408,0.051020408
obs228,"Simonetti, JA, Grez, AA, Celis-Diez, JL, Bustamante, RO",0.023,0.013,25,25,0.017857143,0.017857143
obs229,"Simonetti, JA, Grez, AA, Celis-Diez, JL, Bustamante, RO",0.05,0.03,25,25,0.025510204,0.025510204
obs230,"Rogers, WE, Siemann, E",0.154,0.212,8,8,0.197989899,0.311126984
obs231,"Rogers, WE, Siemann, E",1.772,1.503,6,6,0.661362231,1.322724461
obs232,"Rogers, WE, Siemann, E",2.512,1.598,6,6,0.636867333,0.930806102
obs233,"Hanley, ME, Sykes, RJ",1.5,3.4,6,6,0.734846923,2.449489743
obs234,"Hanley, ME, Sykes, RJ",12.7,0.26,6,6,7.348469228,0.636867333
obs235,"Joe, SM, Daehler, CC",0.9,0.8,15,15,0.387298335,0.387298335
obs236,"Ruis-R, N, Ward, D, Saltz, D",0.66,0.78,50,50,0.424264069,0.424264069
obs237,"Ruis-R, N, Ward, D, Saltz, D",0.96,0.82,50,50,0.424264069,0.424264069
obs238,"Ruis-R, N, Ward, D, Saltz, D",1.2,1.3,50,50,0.707106781,0.707106781
obs239,"Gianoli, E, Quezada, IM, Suarez, LH",0.11,0.13,30,30,0.164316767,0.027386128
obs240,"Gianoli, E, Quezada, IM, Suarez, LH",29.4,28.99,40,40,6.830519746,3.225523213
obs241,"Sosnova, M, Klimesova, J",2.8,1.7,10,40,0.948683298,0.632455532
obs242,"Sosnova, M, Klimesova, J",5.2,4.9,10,40,1.58113883,1.264911064
obs243,"Franks, SJ, Pratt, PD, Dray, FA, Simms, EL",32.7,24.5,12,12,7.794228634,7.82886965
obs244,"Siemann, E, Rogers, WE",147.9,85.1,30,30,8.873105432,10.40672859
obs245,"Leege, LM",1.50E+00,1.40E+00,11,11,0.994987437,0.994987437
obs246,"Leege, LM",2.1,1.7,10,10,1.264911064,1.264911064
obs247,"Green, PT, Lake, PS, O'Dowd, DJ",0.11,0.27,4,4,0.12,0.18
obs248,"Green, PT, Lake, PS, O'Dowd, DJ",0.99,1.81,4,4,0.5,0.58
obs249,"Raghu, S, Dhileepan, K, Trevino, M",2.3,1.5,26,8,1.529705854,0.565685425
obs250,"Li, S, Martin, LT, Pezeshi, SR, Shields Jr, FD",10.2,9,30,30,3.286335345,3.834057903
obs251,"Buschmann, H, Edwards, PJ, Dietz, H",109.8,29.5,3,3,86.94895054,23.20948082
obs252,"Ridenour, WL, Callaway, RM",37.7,27.6,10,10,22.76839915,9.486832981
obs253,"Vandenberghe, C, Frelechoux, F, Moravie, M-A, Gadallah, F, Buttler, A",0.21,-0.72,27,14,0.259807621,0.187082869
obs254,"Iponga, DM, Milton, SJ, Richardson, DM",43.94,36.12,15,15,11.65767987,11.65767987
obs255,"Iponga, DM, Milton, SJ, Richardson, DM",65.52,38.85,15,15,11.65767987,11.65767987
obs256,"Pysek, P, Krinke, L, Jarosik, V, Perglova, I, Pergl, J, Moravcova, L",4.8,0.9,10,10,0.6,1.5
obs257,"Pysek, P, Krinke, L, Jarosik, V, Perglova, I, Pergl, J, Moravcova, L",13,13,10,10,3.6,3.5
obs258,"Briese, DT, Bottcher, S, Vitou, J, Thomann, T",513,319,15,15,240.1249675,240.1249675
obs259,"Briese, DT, Bottcher, S, Vitou, J, Thomann, T",684,664,8,7,560.0285707,460.3607281
obs260,"Huhta, A-P, Rautio, P, Hellstrom, K, Saari, M, Tuomi, J",73809.5,33333.3,10,12,25097.41665,21994.27397
obs261,"Myster, RW",0.44,0.3,5,5,0.111803399,0.067082039
obs262,"Mercader, RJ, Isaacs, R",13.15,12.6,8,8,0.848528137,1.697056275
obs263,"den Herder, M, Bergstrom, R, Niemela, P, Danell, K, and Lindgren, M",48,24.7,28,15,12.17045603,7.745966692
obs264,"Baraza, E, Gomez, JM, Hodar, JA, Zamora, R",1.24,0.92,50,50,0.707106781,0.424264069
obs267,"del-Val, E, Crawley, MJ",1.3,1.6,5,5,0.670820393,0.670820393
obs268,"del-Val, E, Crawley, MJ",2.5,1.7,5,5,0.894427191,0.670820393
obs269,"Williams, HE",2.5,1.8,5,5,0.3,0.4
obs270,"Bast, M, Reader, RJ",51.9,64,15,15,36.40604345,29.43467343
obs271,"Eyles, A, Pinkard, EA, Mohammed, C",1033,843,12,12,374.1229744,367.1947712
