obs_ID,study_ID,es,var
obs074,174,0.3145,0.0328
obs075,190,0.1171,0.0326
obs076,191,0.693147181,0.004367318
obs077,191,1.029619417,0.004367318
obs078,197,0.126372863,0.004367318
obs079,200,1.817505211,0.113512919
obs080,207,0.6277,1.1133
obs081,207,1.0256,0.1783
obs082,212,-0.1462,0.003
obs083,212,-0.0146,0.0042
obs084,212,-0.0128,0.0042
obs085,212,0,0.0025
obs086,212,0,0.0042
obs087,212,0.0797,0.0024
obs088,213,0.072221657,0.004367318
obs089,218,-0.090814887,0.004367318
obs090,221,-0.084002164,0.004367318
obs091,221,-0.031635973,0.004367318
obs092,221,-0.015629695,0.004367318
obs093,226,0.047272088,0.004367318
obs094,226,0.0505,0.0382
obs095,226,0.0985,0.0382
obs096,226,0.2347,0.0519
obs097,226,0.3835,2.5403
obs098,226,0.5878,0.0017
obs099,235,0.016998672,0.000299625
obs100,237,-0.004433618,0.004367318
obs101,237,0.056740038,0.004367318
obs102,237,0.057671176,0.004367318
obs103,241,0.02033972,0.002992081
obs104,242,-0.756625929,0.059477224
obs105,242,-0.318745721,0.03103723
obs106,276,1.767957853,0.457929528
obs107,277,-0.582893271,0.004367318
obs108,277,0.074588563,0.004367318
obs109,280,0.30661252,0.013788384
obs110,280,0.397367898,0.02168558
obs111,280,0.499129584,0.018889011
obs112,280,1.073361778,0.063619632
obs113,280,1.760576542,0.291139779
obs114,298,0.275841939,0.000425243
obs115,298,0.308048608,0.000808143
obs116,299,0.310154928,0.002922314
obs117,299,0.374693449,0.001673877
obs118,300,-0.043485112,0.002428002
obs119,300,0.0983,0.0253
obs120,302,0.3319,0.0855
obs121,302,0.3599,0.0086
obs122,303,0.07439826,0.014812011
obs123,303,0.305381638,0.010669154
obs124,331,-1.0985,0.3536
obs125,331,-0.420153358,0.004367318
obs126,331,0.677923266,0.004367318
obs127,332,-0.0653,0.1087
obs128,332,0.108213585,0.013540434
obs129,332,0.1401,0.1062
obs130,332,0.1526,0.1013
obs131,332,0.1565,0.108
obs132,332,0.349184272,0.012258701
obs133,342,0.113217536,0.004367318
obs134,342,0.218817614,0.004367318
obs135,343,0.11778302,0.008771605
obs136,346,0.144581229,0.004367318
obs137,346,0.182321557,0.004367318
obs138,346,0.2606,0.0599
obs139,347,0.10216813,0.018546884
obs140,354,0.078120804,0.004367318
obs141,355,0.171022436,0.004367318
obs142,369,-0.202078405,0.003568292
obs143,369,0.04904858,0.003560159
obs144,380,0.541923933,0.025046007
obs145,404,0.1843,0.2246
obs146,404,0.2214,0.2463
obs147,409,-0.843639877,0.024686525
obs148,409,0.196888938,0.004367318
obs149,413,0.2071,0.0591
obs150,423,-0.022917471,0.004367318
obs151,423,-0.008667126,0.004367318
obs152,433,1.273998635,0.004367318
obs153,433,1.414598137,0.004367318
obs154,439,0.3816,0.0939
obs155,441,0.165185275,0.000448818
obs156,447,0.16501581,9.06E-05
obs157,449,0.273876698,0.001730479
obs158,458,0.537077995,0.001213013
obs159,462,0.0945,0.0382
obs160,465,0.2677,0.0654
obs161,469,-0.236388778,0.033121794
obs162,469,-0.080042708,0.007912694
obs163,469,0,0.002604167
obs164,469,0.05927661,0.030943648
obs165,469,0.303186259,0.007482776
obs166,469,1.791759469,0.009292593
obs167,472,0.651323275,0.004367318
obs168,472,0.757348598,0.004367318
obs169,473,0.6129,0.0644
obs170,473,0.7918,0.0645
obs171,486,0.146835358,0.004903039
obs172,495,1.686398954,0.036389575
obs173,496,0.0829,0.1069
obs174,496,0.7662,0.0261
obs175,496,1.419654147,0.001277705
obs176,505,1.203972804,0.025882784
obs177,509,-0.1753,0.2499
obs178,509,-0.0297,0.0122
obs179,509,-0.023530497,0.000181634
obs180,510,-1.333926481,0.004367318
obs181,510,-0.999542383,0.004367318
obs182,521,-0.010797892,0.004367318
obs183,527,0.101404099,0.002763889
obs184,542,-1.453852474,0.046688237
obs185,542,0.354206292,0.004367318
obs186,551,0.8847,0.1005
obs187,553,-0.0095,0.3439
obs188,553,0.1181,0.0277
obs189,557,0.031034234,0.004367318
obs190,557,0.095780508,0.004367318
obs191,557,0.1477,0.1183
obs192,557,0.6958,1.0494
obs193,569,-0.235563717,0.004367318
obs194,569,-0.108983709,0.004367318
obs195,571,-0.262039664,0.003088512
obs196,575,0.139761942,0.023643667
obs197,575,0.615185639,0.062484173
obs198,582,0.072759398,0.003389124
obs199,584,0.111482862,0.0042
obs200,585,0.012892308,0.005962564
obs201,587,-0.155005746,0.00614439
obs202,587,0.330513586,0.004367318
obs203,590,-0.364643125,0.007589132
obs204,603,2.451005098,0.107459374
obs205,605,0.020086758,0.004367318
obs206,607,0.0237,0.0312
obs207,607,0.0922,0.0331
obs208,609,0.041882607,0.000194728
obs209,611,-0.137647087,0.001016731
obs210,611,-0.070658754,0.001266707
obs211,611,0.175611023,0.001277211
obs212,611,0.182896284,0.00114624
obs213,612,0.903996821,0.045504641
obs214,613,-0.261903541,0.00365394
obs215,613,0.147227074,0.004367318
obs216,614,-0.336472237,0.020136054
obs217,614,-0.024097552,0.009681479
obs218,614,0.164303051,0.018281532
obs219,618,-0.003159499,0.004367318
obs220,618,0.030695648,0.004367318
obs221,619,0.0338,0.0382
obs222,622,-0.0011,0.0296
obs223,622,0.0029,0.0296
obs224,622,0.01,0.0296
obs225,622,0.0559,0.0353
obs226,622,0.1006,0.5294
obs227,622,0.3104,0.5623
obs228,624,0.693147181,0.115934917
obs229,625,-0.1245,0.1833
obs230,626,-0.009278163,0.004367318
obs231,626,0.102032821,0.004367318
obs232,626,0.147137203,0.004367318
obs233,626,0.371672573,0.004367318
obs234,628,-0.004549858,0.004367318
obs235,631,0.170433735,0.006509572
obs236,631,0.230451745,0.013412449
obs237,635,1.020360169,0.014232771
obs238,638,0.064538521,0.005799093
obs239,644,0.352220594,0.004062982
obs240,644,0.53680111,0.010019669
obs241,650,0.356674944,0.004367318
obs242,650,0.419853846,0.004367318
obs243,651,0.15415068,0.004367318
obs244,654,-0.329599357,0.000926818
obs245,654,-0.180353052,0.000769181
obs246,654,-0.080571612,0.000262687
obs247,654,-0.027011288,0.000248272
obs248,656,-0.014425969,0.004367318
obs249,656,0.000239539,0.004367318
obs250,656,0.003498067,0.004367318
obs251,656,0.004361074,0.004367318
obs252,657,-0.242140052,0.010109092
obs253,657,-0.112477983,0.008496558
obs254,659,-0.105361163,0.000474691
obs255,659,-0.041065638,0.004367318
obs256,659,0.005982413,0.004367318
obs257,659,2.098018446,0.000250068
obs258,664,0.447958544,0.004367318
obs259,664,1.035271841,0.004367318
obs260,665,0.036629236,0.004367318
obs261,665,0.132488671,0.004367318
obs262,675,0.5596,0.1404
obs263,679,-0.037111394,0.0376
obs264,679,0.000831329,0.002091527
obs265,680,0.0651,0.0085
obs266,681,0.072815463,0.004367318
obs267,681,0.431535974,0.004367318
obs268,682,0.27911626,0.019016714
obs269,683,0.5177,0.147
obs270,684,0.122836103,0.004367318
obs271,685,0.7494,0.328
obs272,686,0.108795643,0.000681271
obs273,687,0.0357,0.0351
obs274,688,-0.041736211,0.004367318
obs275,688,-0.032332208,0.004367318
obs276,688,-0.031069718,0.004367318
obs277,688,-0.0226,0.0467
obs278,688,-0.0222,0.033
obs279,689,0.035,0.0099
obs280,689,0.0755,0.0003
obs281,691,0.005130007,0.004367318
obs282,691,0.217210714,0.004367318
obs283,692,0.00103309,0.004367318
obs284,692,0.002046303,0.004367318
obs285,692,0.010089495,0.004367318
obs286,692,0.061069581,0.004367318
obs287,692,0.152946089,0.004367318
obs288,692,0.194894105,0.004367318
obs289,694,-0.338583278,0.008250184
obs290,695,0.4217,0.3652
obs291,695,0.4693,0.2345
obs292,696,0.071912648,0.070976833
obs293,702,0.433717621,0.004367318
obs294,704,1.134272469,0.004367318
obs295,708,0.188094756,0.001163734
obs296,718,-0.1001,0.1762
obs297,718,1.6483,0.0374
obs298,720,-0.4702,0.0234
obs299,720,-0.1738,0.822
obs300,720,0.0113,0.0234
obs301,722,0.8032,0.4778
obs302,722,0.8435,0.6517
obs303,722,0.9972,0.3466
obs304,722,1.6093,1.09
obs305,724,0.989412997,0.004367318
obs306,724,1.296143264,0.004367318
obs307,726,0.104446184,0.004367318
obs308,726,0.660104598,0.004367318
obs309,727,0.4766,0.0238
obs310,727,0.4942,0.0606
obs311,727,0.5126,0.0965
obs312,727,0.559615788,0.004367318
obs313,732,-0.657175123,0.056858004
obs314,732,-0.280057734,0.015983723
obs315,733,0.227057451,0.001885824
obs316,734,0.572096449,0.000185708
obs317,735,0.343,0.0982
obs318,737,0.093090423,0.000867032
obs319,738,-0.5614,0.6697
obs320,738,-0.051293294,0.004367318
obs321,739,0.300575546,0.003825829
obs322,740,-0.244629525,0.003462566
obs323,741,0.510825624,0.185685333
obs324,741,0.550046337,0.18197712
obs325,741,0.587786665,0.178673251
obs326,741,0.875468737,0.160237037
obs327,741,0.9115,1.1427
obs328,741,1.280933845,0.147068313
obs329,744,-0.849762353,0.029324885
obs330,744,0.051898859,0.004367318
obs331,745,1.411450769,0.004367318
obs332,746,0.103072199,0.029749308
obs333,746,0.244757062,0.010567527
obs334,749,0.138429042,0.017984177
obs335,749,0.605078162,0.033505436
obs336,750,0.352220594,0.004062982
obs337,751,0.007361996,6.25E-05
obs338,753,0.117218921,0.018459816
obs339,754,0.316400231,0.054283777
obs340,755,-0.678758443,0.065687452
obs341,755,-0.01506483,0.004367318
obs342,756,0.5243,0.0692
obs343,757,-0.0275,0.0467
obs344,757,0.3942,0.1692
obs345,758,0.2003,0.0467
